Epoch,Loss
1,5.271673339452499
2,5.025832885350937
3,4.934376391386374
4,4.879767449696859
5,4.840541311410758
6,4.8089350015689165
7,4.78707774235652
8,4.770986618139805
9,4.753571202204777
10,4.738225885537955
11,4.730208250192495
12,4.7161875186822355
13,4.711741643074231
14,4.705045440869454
15,4.694839230561867
16,4.687566409966885
17,4.684644449674166
18,4.677203178405762
19,4.674347554720365
20,4.671380556546724
21,4.664544264475505
22,4.658424974099184
23,4.656818223610903
24,4.655579945979974
25,4.650873986268655
26,4.644227331112592
27,4.642811621152438
28,4.640573022304437
29,4.637689045148018
30,4.634838676452636
31,4.632043207608737
32,4.631004724747095
33,4.62779452250554
34,4.625373473534217
35,4.625033197647486
36,4.6190085362165405
37,4.617672330905229
38,4.616020498520289
39,4.613180659367488
40,4.608656929700802
41,4.612130446311755
42,4.609174346923828
43,4.607222850506123
44,4.604559837243496
45,4.603436665657239
46,4.603762411459899
47,4.600101287548359
48,4.599322042709741
49,4.599558940300574
50,4.595153449131892
51,4.593849365527813
52,4.594433843172514
53,4.592765201666416
54,4.591035559238532
55,4.589422996227558
56,4.588128833281688
57,4.587387955494416
58,4.58444735453679
59,4.5832999987479965
60,4.584163054441794
61,4.582246049245199
62,4.578549003601074
63,4.5782274368481755
64,4.579515087910187
65,4.578011872218205
66,4.5766791612674025
67,4.5726232699858835
68,4.573345763866718
69,4.571723111470541
70,4.5715098772293485
71,4.570876128856952
72,4.567944844563802
73,4.568427533369798
74,4.565530128968068
75,4.566328344589625
76,4.564358581640781
77,4.56514813594329
78,4.565436896299705
79,4.56059915591509
80,4.561956894703401
81,4.560425689892891
82,4.559027331914657
83,4.557894569788224
84,4.560387740991055
85,4.557088450896434
86,4.555441257281181
87,4.555560728219839
88,4.554648299094958
89,4.554731843410394
90,4.554279200236002
91,4.551764720525497
92,4.550956951043545
93,4.551271751599434
94,4.551334994878524
95,4.549916629302196
96,4.550600824600611
97,4.548797076787704
98,4.547295228028909
99,4.545939288995204
100,4.544919241391695
101,4.54707715694721
102,4.543372254493909
103,4.543796495290903
104,4.54244792889326
105,4.541421337616749
106,4.542446955656394
107,4.538058826250908
108,4.540206767351199
109,4.538357944977589
110,4.539612153860239
111,4.538224264291617
112,4.538874973394932
113,4.539006150074494
114,4.538402738326635
115,4.533943978334085
116,4.535600618215708
117,4.534633157192133
118,4.534520024519701
119,4.535506898928912
120,4.533087752415583
121,4.533335455870017
122,4.532000600374662
123,4.530853273929694
124,4.530694528726431
125,4.529022317054944
126,4.530089972569392
127,4.528648144159561
128,4.526051359910231
129,4.530133604392027
130,4.529373853634565
131,4.5288559253399185
132,4.526321227733906
133,4.526620177733593
134,4.5247104180164825
135,4.5239326648223095
136,4.524755778679481
137,4.52461264928182
138,4.524638219980093
139,4.521503512064616
140,4.525297431456737
141,4.522049475938846
142,4.5196117498935795
143,4.520870890984169
144,4.5218408340062854
145,4.518808624071952
146,4.520736009646685
147,4.520704993223533
148,4.518160961835813
149,4.5188098931923895
150,4.515903282165527
151,4.5164599247467825
152,4.515404373560196
153,4.514959645882631
154,4.516463790795742
155,4.515018915518736
156,4.5142658600440395
157,4.515214880918845
158,4.51436732121003
159,4.515094823103684
160,4.51457160558456
161,4.511088449527056
162,4.513021535139817
163,4.510953837174636
164,4.512395851428693
165,4.512615876320081
166,4.511341782105275
167,4.510828221149934
168,4.512448416000757
169,4.510392665863037
170,4.511086750030517
171,4.509795827132005
172,4.507866724943503
173,4.506286853399033
174,4.506697554466052
175,4.508498023106502
176,4.507260349469307
177,4.507862765972431
178,4.504804153931446
179,4.507677185841096
180,4.5061119544200405
181,4.505968602498372
182,4.50576173831255
183,4.504135437500783
184,4.503407879364796
185,4.505235520387307
186,4.504626056475517
187,4.502452503106533
188,4.504636622697879
189,4.505098783052885
190,4.501515048589462
191,4.502199742732904
192,4.501833668733254
193,4.500635934487367
194,4.501317307887933
195,4.49981535642575
196,4.501114427126371
197,4.498923626924173
198,4.500368905678774
199,4.49777861619607
200,4.499944207607172
